COUNTRY,COURSE TYPE,COURSE (SPECIALIZATION),FEES
GERMANY,MBA,MBA in Sales & Marketing ,3678127.31
GERMANY,MBA,MBA in Banking,1253594.37
GERMANY,MBA,MBA in Business Administration,454540.69
GERMANY,MBA,MBA in Hospital/Healthcare Management,3246719.22
GERMANY,MBA,MBA in Human Resource Management,1217519.71
GERMANY,MBA,MBA in Internal Business,1442986.32
GERMANY,MBA,MBA in Supply Chain & Logistics Management,1112181.71
GERMANY,MBA,MBA in General Management,1420439.66
GERMANY,MBA,MBA in Global Business Management,1339271.68
GERMANY,MBA,MBA in Entrepreneurship & Leadership Management,1147174.12
GERMANY,MBA,MBA in Tourism,1217519.71
GERMANY,MBA,MBA in Business Engineer,1316725.02
GERMANY,MBA,MBA in Finance,1442986.32
GERMANY,MBA,MBA in Accounting,1354964.15
GERMANY,MBA,MBA in Project Management,1112181.71
GERMANY,MBA,MBA in E-Sports Management,1354964.15
GERMANY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Hotel Management,1226769.15
GERMANY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Marketing,1082894.39
GERMANY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Event Management,938117.59
GERMANY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Luxury & Brand,1028321.2
GERMANY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Logistics & Supply Chain ,1195197.89
GERMANY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in International Business ,1082894.39
GERMANY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Supply Chain Management,1533461.44
GERMANY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Hospital/Healthcare Management,1195197.89
GERMANY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Real Estate,3047078.08
GERMANY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Human Resource Management,1195197.89
GERMANY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Risk Management,755906.29
"GERMANY,MASTERS OF MANAGEMENT,""MASTERS OF MANAGEMENT in Sports,Leisure & Tourism"",986647.13"
GERMANY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Eco-Design & Sustainable,1163626.62
GERMANY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Tourism,1195197.89
GERMANY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Data Analysis,1353054.21
GERMANY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Digital Marketing,1353054.21
GERMANY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Fashion Management,2256894.43
GERMANY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Media Management,1172646.98
GERMANY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Psychology Management,516866.71
GERMANY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Public Relations Management,1353054.21
GERMANY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Sports Management,1217748.79
GERMANY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Stratergic Management,1136565.54
GERMANY,M.ENG,M.ENG in Mechanical,2329959.35
GERMANY,M.ENG,M.ENG in Electrical,1298932.04
GERMANY,M.ENG,M.ENG in Architecture,584519.42
GERMANY,M.ENG,M.ENG in Civil ,1298932.04
GERMANY,M.ENG,M.ENG in IT & Networking,270610.84
GERMANY,M.ENG,M.ENG in Chemical,270610.84
GERMANY,M.ENG,M.ENG in Computer Science Engineering,1044106.83
GERMANY,M.ENG,M.ENG in Aerospace,3157125.6
GERMANY,M.ENG,M.ENG in Biomedical,90835.04
GERMANY,M.ENG,M.ENG in Energy & Environment,1298932.04
GERMANY,M.ENG,M.ENG in Industrial,1344033.85
GERMANY,M.ENG,M.ENG in International Business,1163626.62
GERMANY,M.ENG,M.ENG in Production,811832.53
GERMANY,M.Sc,M.Sc in Physics,1623665.05
GERMANY,M.Sc,M.Sc in Chemistry,1398156.02
GERMANY,M.Sc,M.Sc in Biology,1262850.6
GERMANY,M.Sc,M.Sc in Psychology ,1226769.15
GERMANY,M.Sc,M.Sc in Nursing,1623665.05
GERMANY,M.Sc,M.Sc in Environment,1488359.63
GERMANY,M.Sc,M.Sc in Agriculture,1127545.18
GERMANY,M.Sc,M.Sc inBusiness & Finance,1894275.9
GERMANY,M.Sc,M.Sc inI.T,1804072.28
GERMANY,M.Sc,M.Sc inData Science,2119784.93
USA,MBA,MBA in Sales & Marketing,2638614.4
USA,MBA,MBA in Business Administration,1417822.57
USA,MBA,MBA in Hospital/Healthcare Management,2058338.9
USA,MBA,MBA in International Business,2660913.49
USA,MBA,MBA in Supply Chain & Logistics Management,4676151.91
